obs,phoneme,cog,skewness
1,s,3285.3001128225,-1.21527708362828
1,sh,2408.5186433093,-0.248082624134236
2,s,4664.37138758995,-1.18544711921079
2,sh,2823.39809288058,-0.0165260281004228
3,s,4679.53161588199,-1.06762330493674
3,sh,2898.35235453711,0.117678994709414
4,s,4873.54618925767,-1.06106449309233
4,sh,3617.4799559131,0.19782525226939
5,s,4878.7594194582,-1.03420923763777
5,sh,3668.00434936026,0.211822499012838
6,s,5194.61161284364,-0.948527516763278
6,sh,3684.56803703172,0.26240120260101
7,s,5455.06639098477,-0.908676588047778
7,sh,3875.36359463574,0.323817413248258
8,s,5483.80973690105,-0.877583258688755
8,sh,3917.7698181256,0.493519198852069
9,s,5683.64332422208,-0.867269111358288
9,sh,3952.54928263105,0.510464247685282
10,s,5829.50777181536,-0.85932117425258
10,sh,3955.0970083768,0.52176090668788
11,s,5889.84323641143,-0.700608108001451
11,sh,3956.95596753368,0.541223356143699
12,s,5987.42905242849,-0.692396313252109
12,sh,4059.65198669215,0.574366402048997
13,s,6075.78135165349,-0.680662941871526
13,sh,4310.1372892475,0.589292765796024
14,s,6093.90132121751,-0.62516788046422
14,sh,4334.35324815976,0.632407418917334
15,s,6238.32470512922,-0.620598130395155
15,sh,4495.86059831577,0.709714002137858
16,s,6321.22119509809,-0.576062818608342
16,sh,4610.54059876604,0.766505068465403
17,s,6443.8362106853,-0.551013476419604
17,sh,4625.70904058485,0.799690532229326
18,s,6624.93091814311,-0.511612295741025
18,sh,4735.18189728657,1.12553304185641
19,s,7011.78116845085,-0.318441704404637
19,sh,4880.02029758711,1.4224969015521
20,s,7095.28080213779,-0.126860035522949
20,sh,5086.94364122324,1.51867945941201
